"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9X3XN9FI","book","2010","Eren, Mehmet","Hadis Ricali İlmine Giriş","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Adal Ofset","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NT7KHS9U","book","2010","Eren, Mehmet","Radıyyüddin es-Sağani (ö. 650/1252) ve Buhari'nin Hocalarına Dair Kitabı","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Adal Ofset","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V8LMVKVB","book","2010","Eren, Mehmet","Sadreddin Konevi`nin Fatiha Tefsiri ve Tasavvufi Hadis Şerhçiliği","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Gelenek Yayıncılık","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W39KM6K6","book","2010","Eren, Mehmet","Şia'da Hadis Ricali İlmi Kaynakları ve Konuları","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Adal Ofset","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZQGAQ3FW","book","2010","Bayraktutar, Muammer","Hadislerde Mecazi Anlatım","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Yayınevi","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WBPP8Y9E","book","2010","Dereli, Muhammed Vehbi","Problematik Açıdan Kur’an-Sünnet İlişkisi","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Fecr Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NJ6N4QTI","book","2010","Bilgen, Osman","Hadis Rivayetlerinin Tarih İlmi Açısından Değeri (Hz. Peygamber Dönemi) Hadis'te Tarih Tarih'te Hadis","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Işık Akademi Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENFVIMR2","book","2010","Türkmen, Sabri","Hadislerle Yaşamak Açıklamalı Kırk Hadis","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Çıra Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L5HYCTV7","book","2010","Coşkun, Selçuk","Sünnet ve Gelenek","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Salkımsöğüt Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I8RQYWP9","book","2010","Atmaca, Veli","Hadislerde Rukye  Hz  Peygamber ve Sahabenin Uygulamaları Işığında Şifa Hadisleri","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Rağbet Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VWBTA9GQ","book","2010","Köktaş, Yavuz","Güncel Hadis Yorum ve Tartışmaları","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Rağbet Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84CRYHHZ","book","2010","Köktaş, Yavuz","İlk Dönem Sufileri ve Hadis Hakim et-Tirmizi Örneği","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Gelenek Yayıncılık","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XV2X2ZWE","book","2010","Güler, Zekeriya","Ana Konularıyla Hadis İlmi","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Adal Ofset","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BZ7FWNC4","book","2010","Kutluay, İbrahim","Sünnete Göre Kutsiyet","","","","","","","2010","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Çıra Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKGCJL8B","book","2011","Şahyar, Ataullah","Ehl-i Hadis Ehl-i Rey İhtilafları","","","","","","","2011","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Akdem Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8LPZE9FM","book","2011","Şahyar, Ayşe Esra","Kütübi Sitte'den Örneklerle Zayıf Hadis Rivayeti Metodolojik Anlam ve Yorum","","","","","","","2011","2024-12-29 07:30:55","2024-12-29 07:30:55","","","","","","","","","","","","","Akdem Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NS3V6FML","book","2011","Kuzudişli, Bekir","Şia'da Hadis Rivayeti ve İsnad","","","","","","","2011","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Bsr Yayıncılık","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RP35WJK8","book","2011","Ahatlı, Erdinç","Kültür Yapımızda Hadisler","","","","","","","2011","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Nun Yayıncılık","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U9FSVW9T","book","2011","Kahraman, Hüseyin","Hadis İlminde Bir Cerh Terimi Olarak İrca ve Mürcii Raviler","","","","","","","2011","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Emin Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QKMCCLTI","book","2011","Kaya, Mehmet Fatih","Hadis Usulünde İhtilat","","","","","","","2011","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Rıhle Kitap","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69VYH3KB","book","2011","Aydın, Nevzat","Hadis Metodolojisi Üzerine Düşünmek İmam Evzai'nin Hadis Metodu Özelinde","","","","","","","2011","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Kalem Yayınevi","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V42DNH24","book","2011","Aydın, Nevzat","Hadisin Kontrol Mekanizması Sünnet","","","","","","","2011","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Kalem Yayınevi","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92G4Y3SJ","book","2011","Akın, Nimetullah","Alman Oryantalizmi ve Hadis Perspektifler Yönelimler","","","","","","","2011","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Emin Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G8S8BW9Z","book","2011","Oruçhan, Osman","Hadis ve Bilim","","","","","","","2011","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","TDV Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QJ7XTBBP","book","2011","Köktaş, Yavuz","100 Soruda Hadis Meseleleri","","","","","","","2011","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","İnsan Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J5E9HLI7","book","2011","Köktaş, Yavuz","Hadis ve Sünnette Oryantalist Yaklaşımlar İddialar ve Gerçekler","","","","","","","2011","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","İz Yayıncılık","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SBE7E4DS","book","2011","Acar, Yusuf","Kuraşi'nin el-İnayesi ve Hidaye Hadisleri","","","","","","","2011","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Konya Kültür AŞ","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PGYLAD7G","book","2011","Acar, Yusuf","Rivayet İlimleri Açısından Hayattakilerin Yaptığı İbadet ve Kıraatten Ölülerin Faydalanması Meselesi","","","","","","","2011","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Konya Kültür AŞ","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V3CNSYST","book","2011","Türcan, Zişan","Hadis Şerh Geleneği Doğuşu Gelişimi ve Dönüşümü","","","","","","","2011","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","TDV Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X97933VW","book","2011","Aktepe, İsak Emin","Hadis Kaynaklarında Faiz ve Finansman","","","","","","","2011","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Hayat Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BB8F7JY3","book","2012","Karahan, Abdullah","İbn Receb el-Hanbeli Hayatı Eserleri Hadis İlmindeki Yeri","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Emin Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RZQETZ5C","book","2012","Yıldız, Abdullah","Tuleka Raviler ve Rivayetleri","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Yayınevi Yayıncılık","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9CWHUYWB","book","2012","Ünalan, Abdullah","Hadis Perspektifinden Kuran","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Albi Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9MWK985W","book","2012","Budak, Ali","Kelamcı Perspektifinde Hadis Ebu'l Huseyn el Basri Örneği","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Işık Akademi Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AXHBN9WC","book","2012","Budak, Ali","Tahric Literatürü ve Hadis Tenkidindeki Yeri","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Işık Akademi Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JK42LS5H","book","2012","Kuzudişli, Ali","Fazlur Rahman ile Sünnet Tartışmaları","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Gümüşhane Üniversitesi Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63LRWLLX","book","2012","Kuzudişli, Ali","Rivayetlerde Sarmal Özellik","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Tibyan Yayıncılık","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D5MZ9YWR","book","2012","Saklan, Bilal","Hadis Tarihinde Muhaddis Sufiler","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","İnsan Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57CD4TVP","book","2012","Kamacı, Fatımatüz Zehra","Hz. Peygamber Devrinde Kadınların Süslenmesi","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","İnkilab Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74N3KJZD","book","2012","Gökçe, Ferhat","Hadislerin Anlaşılması ve Yorumlanmasında “Mizan” Yöntemi –Abdülvehhâb eş-Şa’rani (973/1565) ve Hadisleri Değerlendirmede Mizan Yöntemi–","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Yayınevi Yayıncılık","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XHSNKSK5","book","2012","Demirel, Harun Reşit","Hadis İlminde Mübhem Mübhematu'l Hadis","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Yayınevi Yayıncılık","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W9ARNGZ7","book","2012","Martı, Huriye","Et-Tarikatü'l-Muhammediyye Muhteva Analizi, Kaynakları ve Kaynaklık Değeri","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Rağbet Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ET3KK7N","book","2012","Demirci, Kadir","İbaziye ve Hadis","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Yayınevi Yayıncılık","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DCFU2LJF","book","2012","Yavuz, Lütfullah","Hadislerin Müteşabihliği","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Tibyan Yayıncılık","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AUWJ9UR8","book","2012","Yeşil, Mahmut","Hadisleri Doğru Anlama Konusunda Bir Yöntem Denemesi –Kadınların Aklı ve Dini Hadisi Örneği-","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ESK86Q2Q","book","2012","Eren, Mehmet","Hadis İlminde Rical Bilgisi ve Kaynakları","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","İSAM Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SHPIS5KZ","book","2012","Toprak, Mehmet Sait","Talmud ve Hadis Karşılaştırmalı Bir Araştırma","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Kabalcı Yayıncılık","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N9KGZ6L4","book","2012","Öztürk, Mustafa","Mevalinin Hadis Rivayetindeki Yeri","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Yedirenk Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2Y5TV2PM","book","2012","Yatkın, Nihat","Abdullah İbn Abbas ve Hadis İlmindeki Yeri","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Yayınevi Yayıncılık","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3XJ3UXH4","book","2012","Dikici, Recep","Ahteri ve Manzum Kırk Hadis Tercümesi","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Ravza Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FHPL2KNC","book","2012","Karacabey, Salih","Hadislerin Kültürümüze Etkisi","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Emin Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9C7PZPU6","book","2012","Avcı, Seyit","Hadis ve Hadisçiler","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","Serhat Kitabevi","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y56KD8MR","book","2012","Köktaş, Yavuz","Günümüz Hadis Tartışmaları","","","","","","","2012","2024-12-29 07:30:56","2024-12-29 07:30:56","","","","","","","","","","","","","İFAV Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NFGHJ9QK","book","2012","Keskin, Yusuf Ziya","Bazı Hadis Meseleleri","","","","","","","2012","2024-12-29 07:30:57","2024-12-29 07:30:57","","","","","","","","","","","","","Şahıs","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8RNQ7UEU","book","2013","","Hadislerle İslam, Hadislerin Hadislerle Yorumu","","","","","","","2013","2024-12-29 07:30:57","2024-12-29 07:30:57","","","","","","","","","","","","","DİB Yayınları","","TR","","","","Editoryal","","","","","","","","","Özafşar, Mehmet Emin; Ünal, İsmail Hakkı; Ünal, Yavuz; Erul, Bünyamin; Martı, Huriye; Demir, Mahmut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EDJPQUMS","book","2013","","Sünnet Sosyolojisi","","","","","","","2013","2024-12-29 07:30:57","2024-12-29 07:30:57","","","","","","","","","","","","","Eski Yeni Yayınları","","TR","","","","Editoryal","","","","","","","","","Tekin, Mustafa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8HLB4IFM","book","2013","Evgin, Abdülkadir","İlk Dönem Tarsuslu Hadis Alimleri","","","","","","","2013","2024-12-29 07:30:57","2024-12-29 07:30:57","","","","","","","","","","","","","Tarsus Belediyesi Kültür Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VB2MNRUQ","book","2013","Yavuz, Adil","Hadis ve Sünnetin Anlaşılmasında Külli Kaideler","","","","","","","2013","2024-12-29 07:30:57","2024-12-29 07:30:57","","","","","","","","","","","","","Aybil Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USABM2XU","book","2013","Yücel, Ahmet","Oryantalistler ve Hadis","","","","","","","2013","2024-12-29 07:30:57","2024-12-29 07:30:57","","","","","","","","","","","","","İFAV Yayınları","","TR","","","","Araştırma Kitabı","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
